query,src_id,tgt_id,description,keywords,weight,source_id,file_path,created_at
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Energy Center,AI systems are responsible for managing operations at the Energy Center.,"management,technological control",1.0,chunk-780885d3488524aa612424d934a12bea,./inputs/能源中心與智慧電網.txt,1760432233
市民的個人化的 AI 助理可以分析甚麼事情?,AI,System,The AI governs the system's navigation functionality.,"AI integration,control",1.0,chunk-cd1c19cf4e7a3c4c12828f8710a1bf49,./inputs/自駕交通與能源整合.txt,1760432938
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Automatic Power Adjustment,AI implements the automatic power adjustment method to manage power supply.,"method implementation,system function",1.0,chunk-98edab2bedb985603fbc7f84904fcf81,./inputs/能源中心與智慧電網.txt,1760432233
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Reports,AI produces reports that are made available for citizens to review.,"information generation,public access",1.0,chunk-60efa47a9588fffe56a77d9403dbaa0b,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Model Results,AI generates model results that are accessible to the public.,"data generation,transparency",1.0,chunk-60efa47a9588fffe56a77d9403dbaa0b,./inputs/政策與永續決策委員會.txt,1760433367
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Decision-Making Process,AI is associated with providing reports or information that supports the decision-making process.,"information provision,technological support",1.0,chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433367
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Report,"AI is associated with providing reports or information, as indicated in the text.","information provision,technological support",1.0,chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433368
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Weather Forecast,AI utilizes weather forecast data to adjust power supply.,"data usage,power adjustment",1.0,chunk-98edab2bedb985603fbc7f84904fcf81,./inputs/能源中心與智慧電網.txt,1760432233
市民的個人化的 AI 助理可以分析甚麼事情?,AI,City Electricity Usage,AI utilizes city electricity usage data to adjust power supply.,"data usage,power adjustment",1.0,chunk-98edab2bedb985603fbc7f84904fcf81,./inputs/能源中心與智慧電網.txt,1760432233
市民的個人化的 AI 助理可以分析甚麼事情?,AI,交通流量,AI uses traffic flow as a factor in its adjustments.,"adjustment based on,traffic consideration",1.0,chunk-d77b85f67d8545f7d9d9d0c2f08951f8,./inputs/自駕交通與能源整合.txt,1760432938
市民的個人化的 AI 助理可以分析甚麼事情?,AI,能源需求,AI considers energy demand when making adjustments.,"adjustment factor,energy demand consideration",1.0,chunk-d77b85f67d8545f7d9d9d0c2f08951f8,./inputs/自駕交通與能源整合.txt,1760432938
市民的個人化的 AI 助理可以分析甚麼事情?,AI,天氣條,AI takes weather conditions into account for adjustments.,"adjustment factor,weather consideration",1.0,chunk-d77b85f67d8545f7d9d9d0c2f08951f8,./inputs/自駕交通與能源整合.txt,1760432938
市民的個人化的 AI 助理可以分析甚麼事情?,AI,充電站,"The AI is integrated into the charging station to optimize operations based on traffic flow, energy demand, and weather conditions.","system integration,technological component",1.0,chunk-d77b85f67d8545f7d9d9d0c2f08951f8,./inputs/自駕交通與能源整合.txt,1760432938
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Lifestyle Analysis,"Assistant conducts lifestyle analysis to inform energy conservation, health, and travel recommendations.","analysis execution,recommendation basis",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433013
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Energy Conservation,Assistant provides energy conservation strategies as part of the overall recommendation service.,"advice provision,sustainability",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Health Recommendations,Assistant delivers health recommendations tailored to individual lifestyle patterns.,"advice provision,wellness",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Travel Advice,Assistant offers travel advice as part of the comprehensive lifestyle improvement service.,"advice provision,mobility",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433013
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Urban Traffic Congestion,Assistant detects urban traffic congestion as part of its monitoring functions.,"detection,monitoring",1.0,chunk-ec21914d8f0fba3cf115a0d1985925ef,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Energy Peaks,Assistant detects energy peaks as part of its monitoring functions.,"detection,monitoring",1.0,chunk-ec21914d8f0fba3cf115a0d1985925ef,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Energy Conservation,Lifestyle Analysis,Lifestyle Analysis informs the development of Energy Conservation strategies by identifying energy usage patterns.,"lifestyle impact,sustainability",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Health Recommendations,Lifestyle Analysis,Lifestyle Analysis enables the creation of Health Recommendations by evaluating daily routines and their health implications.,"habit modification,wellness integration",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Lifestyle Analysis,Travel Advice,Lifestyle Analysis contributes to Travel Advice by assessing commuting patterns and transportation preferences.,"mobility planning,sustainable transport",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,個人行為,雲端模型,The cloud model's synchronization updates directly influence individual behavior.,"feedback mechanism,synchronization update",1.0,chunk-67889f9c59eaba99a839486e0f8374c9,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,個人行為,整體城市運作,Individual behavior and overall city operations mutually reinforce each other through the cloud model's updates.,"interdependence,positive feedback",1.0,chunk-67889f9c59eaba99a839486e0f8374c9,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Citizen,Personalized AI Assistant,A citizen is associated with a personalized AI assistant that is tailored to their specific needs and behaviors.,"individualization,ownership",1.0,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Lifestyle Pattern,Personalized AI Assistant,A personalized AI assistant is capable of analyzing an individual's lifestyle pattern to provide insights and support.,"analysis,data processing",1.0,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433013
市民的個人化的 AI 助理可以分析甚麼事情?,Automatic Power Adjustment,Power Supply,Automatic power adjustment is the method used to manage and modify the power supply system.,"adjustment target,system function",1.0,chunk-98edab2bedb985603fbc7f84904fcf81,./inputs/能源中心與智慧電網.txt,1760432233
市民的個人化的 AI 助理可以分析甚麼事情?,AI助理,端系統,端系統provides the foundational structure upon which AI助理's learning processes are based.,"dependency,learning foundation",1.0,chunk-fa9cb72811d1150610f44d9fef96caba,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,Graphical Dashboard,Model,The Graphical Dashboard is used to observe changes in the Model.,"monitoring,observation",1.0,chunk-1ab307d7c9fb2e7390c131fecbbb093c,./inputs/雲端資料與城市模型.txt,1760432275
